conf_id,f1-0,f1-1,f1-2,f1-3,arboles,criterio,profundidad,caracteristicas
0,0.7070707070707072,0.44,0.5940594059405941,0.62,100,gini,None,auto
1,0.7,0.4313725490196078,0.6,0.6122448979591836,100,entropy,None,auto
2,0.6464646464646464,0.4509803921568628,0.5576923076923077,0.5894736842105264,10,gini,None,auto
3,0.6391752577319586,0.41584158415841577,0.52,0.5882352941176471,20,gini,None,auto
4,0.6666666666666666,0.42718446601941745,0.5686274509803922,0.5806451612903226,30,gini,None,auto
5,0.693069306930693,0.4854368932038835,0.5567010309278351,0.6060606060606062,40,gini,None,auto
6,0.64,0.4807692307692307,0.5825242718446602,0.5806451612903226,50,gini,None,auto
7,0.7,0.46,0.62,0.6,100,gini,None,auto
8,0.693069306930693,0.4313725490196078,0.5918367346938774,0.5858585858585857,100,gini,None,sqrt
9,0.6326530612244898,0.4356435643564357,0.5825242718446602,0.5918367346938774,100,gini,None,log2
10,0.7326732673267328,0.4827586206896552,0.6909090909090909,0.6666666666666666,100,gini,5,auto
11,0.66,0.43809523809523804,0.5510204081632654,0.577319587628866,100,gini,10,auto
12,0.7,0.4854368932038835,0.56,0.6391752577319586,100,gini,15,auto
13,0.6666666666666666,0.42424242424242425,0.5794392523364487,0.6086956521739131,100,gini,20,auto
14,0.673076923076923,0.4807692307692307,0.5742574257425743,0.5714285714285714,100,gini,25,auto
